60,60.8
65,55.8
70,50.8
75,45.8
80,40.8
85,35.15
90,30.15
95,25.15
96,24.15
97,23.15
98,22.15
99,21.2
100,20.2
101,19.2
102,18.2
103,17.2
104,16.2
105,15.2
106,14.2
107,13.2
108,12.2
109,11.25
110,10.2
111,9.2
112,8.25
113,7.25
114,6.3
115,5.35
116,4.4
117,3.5
118,2.69
119,1.93
120,1.29
121,0.8
122,0.45
123,0.24
124,0.14
125,0.08
126,0.05
127,0.04
128,0.03
129,0.03
130,0.02
131,0.02
132,0.02
133,0.02
134,0.01
135,0.01
136,0.01
137,0.01
138,0.01
139,0.01
140,0.01
141,0.01
142,0.01
143,0.01
144,0.01
145,0.01
146,0.01
147,0.01
148,0.01
149,0.01
150,0.01
155,0.01
160,0.01
165,0.01
170,0.01
175,0.01
180,0.01
185,0.01
190,0.01
195,0.01
200,0.01
205,0.01
