55,65.75
60,60.75
62.5,58.25
65,55.75
67.5,53.25
70,50.75
72.5,48.25
75,45.75
77.5,43.25
80,40.8
82.5,38.3
85,35.8
87.5,34.05
90,30.85
91.25,29.6
92.5,28.35
93.75,27.85
95,25.9
96.25,24.65
97.5,23.45
98.75,22.2
100,21
101.25,19.75
102.5,18.55
103.75,17.3
105,16.1
106.25,15.65
107.5,13.75
108,14
108.75,12.6
109,12.35
110,11.45
111,10.55
111.25,10.35
112,10.1
112.5,9.4
113,8.85
113.75,8.25
114,8.05
115,7.25
116,6.5
116.25,6.35
117,5.8
117.5,5.45
118,5.15
118.75,4.65
119,4.5
120,3.9
121,3.35
121.25,3.25
122,2.88
122.5,2.65
123,2.44
123.75,2.15
124,2.05
125,1.71
126,1.42
126.25,1.35
127,1.17
127.5,1.05
128,1
128.75,0.84
129,0.79
130,0.64
131,0.53
131.25,0.51
132,0.44
132.5,0.41
133.75,0.33
135,0.26
136.25,0.23
137.5,0.2
138.75,0.17
140,0.15
141.25,0.14
145,0.1
150,0.08
155,0.06
160,0.05
